"JOB_NAME","COBALT_JOBID","MACHINE_NAME","QUEUED_TIMESTAMP","QUEUED_DATE_ID","START_TIMESTAMP","START_DATE_ID","END_TIMESTAMP","END_DATE_ID","USERNAME_GENID","PROJECT_NAME_GENID","QUEUE_NAME","WALLTIME_SECONDS","RUNTIME_SECONDS","NODES_USED","NODES_REQUESTED","CORES_USED","CORES_REQUESTED","LOCATION","EXIT_STATUS","ELIGIBLE_WAIT_SECONDS","ELIGIBLE_WAIT_FACTOR","QUEUED_WAIT_SECONDS","QUEUED_WAIT_FACTOR","REQUESTED_CORE_HOURS","USED_CORE_HOURS","CAPABILITY_USAGE_CORE_HOURS","NONCAPABILITY_USAGE_CORE_HOURS","BUCKETS3_A_USAGE_CORE_HOURS","BUCKETS3_B_USAGE_CORE_HOURS","BUCKETS3_C_USAGE_CORE_HOURS","MACHINE_PARTITION","EXIT_CODE","MODE","RESID","DATA_LOAD_STATUS","CAPABILITY","SIZE_BUCKETS3","PERCENTILE","NUM_TASKS_SUBBLOCK","NUM_TASKS_CONSECUTIVE","NUM_TASKS_MULTILOCATION","NUM_TASKS_SINGLE","COBALT_NUM_TASKS","IS_SINGLE","IS_CONSECUTIVE","IS_MULTILOCATION","IS_SUBBLOCK","IS_SUBBLOCK_ONLY","IS_MULTILOCATION_ONLY","IS_MULTILOCATION_SUBBLOCK","IS_CONSECUTIVE_ONLY","IS_SINGLE_ONLY","IS_NO_TASKS","IS_OTHER","OVERBURN_CORE_HOURS","IS_OVERBURN"
"668634.intrepid",668634,"intrepid","2013-12-31 23:38:48",20131231,"2014-01-01 00:03:12",20140101,"2014-01-03 18:13:08",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","238196.0000","512.00","512.00","2048.00","2048.00","ANL-R00-M0-512",255,1464,0,1464,0,"135507.0578","135507.0578","0.0000","135507.0500","0.0000","0.0000","135507.0500","ANL-R00-M0-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
"668636.intrepid",668636,"intrepid","2013-12-31 23:38:52",20131231,"2014-01-01 00:00:32",20140101,"2014-01-03 18:13:09",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","238357.0000","512.00","512.00","2048.00","2048.00","ANL-R01-M0-512",255,1300,0,1300,0,"135598.6489","135598.6489","0.0000","135598.6333","0.0000","0.0000","135598.6333","ANL-R01-M0-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
"668638.intrepid",668638,"intrepid","2013-12-31 23:38:55",20131231,"2014-01-01 00:04:04",20140101,"2014-01-03 18:13:09",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","238145.0000","512.00","512.00","2048.00","2048.00","ANL-R02-M0-512",255,1509,0,1509,0,"135478.0444","135478.0444","0.0000","135478.0333","0.0000","0.0000","135478.0333","ANL-R02-M0-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
"668640.intrepid",668640,"intrepid","2013-12-31 23:38:59",20131231,"2014-01-01 00:08:23",20140101,"2014-01-03 18:13:10",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","237887.0000","512.00","512.00","2048.00","2048.00","ANL-R03-M0-512",255,1764,0,1764,0,"135331.2711","135331.2711","0.0000","135331.2666","0.0000","0.0000","135331.2666","ANL-R03-M0-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
"668635.intrepid",668635,"intrepid","2013-12-31 23:38:50",20131231,"2014-01-01 00:02:21",20140101,"2014-01-03 18:13:31",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","238270.0000","512.00","512.00","2048.00","2048.00","ANL-R00-M1-512",255,1411,0,1411,0,"135549.1556","135549.1556","0.0000","135549.1500","0.0000","0.0000","135549.1500","ANL-R00-M1-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
"668639.intrepid",668639,"intrepid","2013-12-31 23:38:57",20131231,"2014-01-01 00:07:28",20140101,"2014-01-03 18:13:31",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","237963.0000","512.00","512.00","2048.00","2048.00","ANL-R02-M1-512",255,1710,0,1710,0,"135375.0756","135375.0756","0.0000","135374.5000","0.0000","0.0000","135374.5000","ANL-R02-M1-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
"668642.intrepid",668642,"intrepid","2013-12-31 23:39:03",20131231,"2014-01-01 00:05:47",20140101,"2014-01-03 18:13:32",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","238065.0000","512.00","512.00","2048.00","2048.00","ANL-R04-M0-512",255,1604,0,1604,0,"135432.5333","135432.5333","0.0000","135432.5333","0.0000","0.0000","135432.5333","ANL-R04-M0-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
"668644.intrepid",668644,"intrepid","2013-12-31 23:39:27",20131231,"2014-01-01 00:09:18",20140101,"2014-01-03 18:13:33",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","237855.0000","512.00","512.00","2048.00","2048.00","ANL-R05-M0-512",255,1791,0,1791,0,"135313.0667","135313.0667","0.0000","135313.0666","0.0000","0.0000","135313.0666","ANL-R05-M0-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
"668646.intrepid",668646,"intrepid","2013-12-31 23:39:31",20131231,"2014-01-01 00:14:13",20140101,"2014-01-03 18:13:33",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","237560.0000","512.00","512.00","2048.00","2048.00","ANL-R06-M0-512",255,2083,0,2083,0,"135145.2444","135145.2444","0.0000","135145.2333","0.0000","0.0000","135145.2333","ANL-R06-M0-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
"668648.intrepid",668648,"intrepid","2013-12-31 23:39:34",20131231,"2014-01-01 00:12:38",20140101,"2014-01-03 18:13:34",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","237656.0000","512.00","512.00","2048.00","2048.00","ANL-R07-M0-512",255,1984,0,1984,0,"135199.8578","135199.8578","0.0000","135199.8500","0.0000","0.0000","135199.8500","ANL-R07-M0-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
"668637.intrepid",668637,"intrepid","2013-12-31 23:38:54",20131231,"2014-01-01 00:01:30",20140101,"2014-01-03 18:13:47",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","238337.0000","512.00","512.00","2048.00","2048.00","ANL-R01-M1-512",255,1356,0,1356,0,"135587.8400","135587.8400","0.0000","135587.2666","0.0000","0.0000","135587.2666","ANL-R01-M1-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
"668643.intrepid",668643,"intrepid","2013-12-31 23:39:05",20131231,"2014-01-01 00:06:40",20140101,"2014-01-03 18:13:48",20140103,29946708553445,27857609013029,"R.the_end","432000.0000","238028.0000","512.00","512.00","2048.00","2048.00","ANL-R04-M1-512",255,1655,0,1655,0,"135411.4844","135411.4844","0.0000","135411.4833","0.0000","0.0000","135411.4833","ANL-R04-M1-512",255,"smp",5595,"UNKNOWN","Not capability","0% <= x < 20%","0% <= x < 10%",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,"0.0000",0
