Queue              Max   Tot Ena Str   Que   Run   Hld   Wat   Trn   Ext Type
---------------- ----- ----- --- --- ----- ----- ----- ----- ----- ----- ----
run_next             0     0  no  no     0     0     0     0     0     0 Exe*
debug                0     5 yes yes     1     3     1     0     0     0 Exe*
debug-scaling        0     1 yes yes     0     1     0     0     0     0 Exe*
prod                 0    30 yes yes    30     0     0     0     0     0 Rou*
small                0    22 yes yes     1    12     9     0     0     0 Exe*
medium               0     0 yes yes     0     0     0     0     0     0 Exe*
large                0     4 yes yes     1     1     2     0     0     0 Exe*
backfill-small       0    21 yes yes     0    11    10     0     0     0 Exe*
backfill-medium      0     0 yes yes     0     0     0     0     0     0 Exe*
backfill-large       0     0 yes yes     0     0     0     0     0     0 Exe*
preemptable          0    39 yes yes    10    18    11     0     0     0 Exe*
demand               0     0 yes yes     0     0     0     0     0     0 Exe*
tagger               0    80 yes  no    80     0     0     0     0     0 Exe*
noise                0     0 yes  no     0     0     0     0     0     0 Exe*
build                0     0 yes yes     0     0     0     0     0     0 Exe*
M485344              0     0 yes yes     0     0     0     0     0     0 Exe*
